"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 19:07:54 GMT 2023","Wed Dec 13 19:07:54 GMT 2023","194","Loans for new user after sign up","Quick Loans","","","","Login -  successful",""
"passed","Wed Dec 13 19:06:58 GMT 2023","Wed Dec 13 19:06:58 GMT 2023","152","Savings application for existing customer","Personal savings","Personal savings application","","","Personal Savings Application- Empty Gender",""
"passed","Wed Dec 13 19:07:48 GMT 2023","Wed Dec 13 19:07:48 GMT 2023","179","Loans for new user before sign up","Consumer Loans","","","","Get Customer Loans Application",""
"passed","Wed Dec 13 19:07:40 GMT 2023","Wed Dec 13 19:07:41 GMT 2023","1261","Savings application for new user after sign up","Personal Savings","","","","Register New User",""
"passed","Wed Dec 13 19:07:03 GMT 2023","Wed Dec 13 19:07:03 GMT 2023","187","Loans application for existing customer","Personal  Loans","Consumer Loan","","","Submit Loan-Get customer loan application",""
"passed","Wed Dec 13 19:07:47 GMT 2023","Wed Dec 13 19:07:48 GMT 2023","179","Loans for new user before sign up","Consumer Loans","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:07:01 GMT 2023","Wed Dec 13 19:07:01 GMT 2023","150","Loans application for existing customer","Personal  Loans","PayDay Loan","","","PayDay  Loan - Submit Loan Without Lastname",""
"passed","Wed Dec 13 19:06:56 GMT 2023","Wed Dec 13 19:06:56 GMT 2023","193","Savings application for existing customer","Children savings application","","","","Children Savings Application-Empty PhoneNumber",""
"passed","Wed Dec 13 19:06:56 GMT 2023","Wed Dec 13 19:06:57 GMT 2023","182","Savings application for existing customer","Children savings application","","","","Children Savings Application-Empty motherMaidenName",""
"passed","Wed Dec 13 19:08:52 GMT 2023","Wed Dec 13 19:08:52 GMT 2023","212","Fixed deposit for naira compare","","","","","Updating user profile",""
"failed","Wed Dec 13 19:07:35 GMT 2023","Wed Dec 13 19:07:35 GMT 2023","294","Savings application for new user before sign up","Children Savings","","","","Login -  successful",""
"failed","Wed Dec 13 19:07:28 GMT 2023","Wed Dec 13 19:07:28 GMT 2023","160","Reset password","","","","","Reset Password -  Empty email",""
"passed","Wed Dec 13 19:06:57 GMT 2023","Wed Dec 13 19:06:57 GMT 2023","172","Savings application for existing customer","Children savings application","","","","Children Savings Application-Invalid/Mismatched Auth Token",""
"failed","Wed Dec 13 19:07:50 GMT 2023","Wed Dec 13 19:07:50 GMT 2023","378","Loans for new user after sign up","PayDay Loans","","","","Submit Loan Application",""
"passed","Wed Dec 13 19:06:59 GMT 2023","Wed Dec 13 19:06:59 GMT 2023","171","Savings application for existing customer","Personal savings","Personal savings application","","","Personal Savings Application-Invalid/Mismatched Token",""
"failed","Wed Dec 13 19:07:28 GMT 2023","Wed Dec 13 19:07:28 GMT 2023","177","Reset password","","","","","Reset Password - Invalid Email",""
"passed","Wed Dec 13 19:06:58 GMT 2023","Wed Dec 13 19:06:58 GMT 2023","152","Savings application for existing customer","Personal savings","Personal savings application","","","Personal Savings Application- Empty Email Address",""
"passed","Wed Dec 13 19:07:26 GMT 2023","Wed Dec 13 19:07:26 GMT 2023","198","Logout","","","","","/api/Auth/logout",""
"passed","Wed Dec 13 19:07:23 GMT 2023","Wed Dec 13 19:07:23 GMT 2023","183","View customers loan","","","","","view customer loan",""
"passed","Wed Dec 13 19:07:23 GMT 2023","Wed Dec 13 19:07:23 GMT 2023","148","View customers loan","","","","","view customer loan - No Auth token",""
"passed","Wed Dec 13 19:07:45 GMT 2023","Wed Dec 13 19:07:46 GMT 2023","183","Loans for new user before sign up","Quick Loans","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:07:25 GMT 2023","Wed Dec 13 19:07:25 GMT 2023","163","View customers saving","","","","","view customer Saving -Empty pageNumber",""
"passed","Wed Dec 13 19:07:13 GMT 2023","Wed Dec 13 19:07:15 GMT 2023","1571","Credit score check","","","","","Credit score - Invalid Customerid Field",""
"passed","Wed Dec 13 19:06:49 GMT 2023","Wed Dec 13 19:06:49 GMT 2023","152","Auth","","","","","Refresh token - no refresh token",""
"passed","Wed Dec 13 19:07:44 GMT 2023","Wed Dec 13 19:07:44 GMT 2023","182","Loans for new user before sign up","Payday Loans","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:06:54 GMT 2023","Wed Dec 13 19:06:54 GMT 2023","160","Savings application for existing customer","Fixed deposit savings","","","","Fixed Deposit Savings- Empty Contact address1",""
"passed","Wed Dec 13 19:07:06 GMT 2023","Wed Dec 13 19:07:06 GMT 2023","188","Get user profile","","","","","User profile",""
"passed","Wed Dec 13 19:07:46 GMT 2023","Wed Dec 13 19:07:47 GMT 2023","994","Loans for new user before sign up","Consumer Loans","","","","Register New Loan Customer",""
"passed","Wed Dec 13 19:07:00 GMT 2023","Wed Dec 13 19:07:00 GMT 2023","149","Loans application for existing customer","Personal  Loans","QUICK LOAN","","","Submit Loan-With Empty Email Field",""
"passed","Wed Dec 13 19:07:23 GMT 2023","Wed Dec 13 19:07:23 GMT 2023","150","Credit score status","","","","","Credit Score Status No Auth",""
"passed","Wed Dec 13 19:07:06 GMT 2023","Wed Dec 13 19:07:06 GMT 2023","164","Get user profile","","","","","User profile - Invalid Customer ID",""
"passed","Wed Dec 13 19:07:26 GMT 2023","Wed Dec 13 19:07:26 GMT 2023","145","Customer notification","","","","","User Notification Invalid Auth Token",""
"passed","Wed Dec 13 19:07:46 GMT 2023","Wed Dec 13 19:07:46 GMT 2023","199","Loans for new user before sign up","Quick Loans","","","","Login -  successful",""
"passed","Wed Dec 13 19:07:34 GMT 2023","Wed Dec 13 19:07:35 GMT 2023","186","Savings application for new user before sign up","Children Savings","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:07:31 GMT 2023","Wed Dec 13 19:07:31 GMT 2023","177","Savings application for new user before sign up","Fixed Deposit","","","","Get Customer Fixed Saving Application",""
"passed","Wed Dec 13 19:08:26 GMT 2023","Wed Dec 13 19:08:26 GMT 2023","200","Business loan after sign up","SME Business Loan","","","","Validate Account",""
"passed","Wed Dec 13 19:06:55 GMT 2023","Wed Dec 13 19:06:55 GMT 2023","182","Savings application for existing customer","Children savings application","","","","Children Savings Application-Empty Gender",""
"failed","Wed Dec 13 19:07:28 GMT 2023","Wed Dec 13 19:07:28 GMT 2023","163","Reset password","","","","","Reset Password - Empty Password Field",""
"passed","Wed Dec 13 19:07:01 GMT 2023","Wed Dec 13 19:07:01 GMT 2023","151","Loans application for existing customer","Personal  Loans","PayDay Loan","","","PayDay  Loan - Submit Loan Without Account Name",""
"passed","Wed Dec 13 19:06:50 GMT 2023","Wed Dec 13 19:06:50 GMT 2023","185","View products","","","","","/api/Products",""
"passed","Wed Dec 13 19:06:50 GMT 2023","Wed Dec 13 19:06:50 GMT 2023","215","Auth","","","","","Auth-  successful",""
"passed","Wed Dec 13 19:07:42 GMT 2023","Wed Dec 13 19:07:42 GMT 2023","202","Savings application for new user after sign up","Personal Savings","","","","Login -  successful",""
"passed","Wed Dec 13 19:07:49 GMT 2023","Wed Dec 13 19:07:50 GMT 2023","194","Loans for new user after sign up","PayDay Loans","","","","Login -  successful",""
"failed","Wed Dec 13 19:07:52 GMT 2023","Wed Dec 13 19:07:52 GMT 2023","335","Loans for new user after sign up","Consumer Loans","","","","Submit Loan Application",""
"passed","Wed Dec 13 19:07:46 GMT 2023","Wed Dec 13 19:07:46 GMT 2023","184","Loans for new user before sign up","Quick Loans","","","","Get Customer Loans Application",""
"failed","Wed Dec 13 19:08:26 GMT 2023","Wed Dec 13 19:08:27 GMT 2023","220","Business loan after sign up","SME Business Loan","","","","Submit Loan Application",""
"passed","Wed Dec 13 19:07:15 GMT 2023","Wed Dec 13 19:07:17 GMT 2023","1633","Credit score check","","","","","Credit score- Empty BVN field",""
"passed","Wed Dec 13 19:06:48 GMT 2023","Wed Dec 13 19:06:49 GMT 2023","158","Auth","","","","","Auth - No UniqueID",""
"passed","Wed Dec 13 19:07:25 GMT 2023","Wed Dec 13 19:07:25 GMT 2023","149","View customers saving","","","","","view customer Saving -Invalid token",""
"passed","Wed Dec 13 19:07:50 GMT 2023","Wed Dec 13 19:07:51 GMT 2023","1167","Loans for new user after sign up","Consumer Loans","","","","Register New User",""
"passed","Wed Dec 13 19:07:37 GMT 2023","Wed Dec 13 19:07:37 GMT 2023","401","Savings application for new user after sign up","Fixed Deposit","","","","Get Customer Fixed Deposit Application",""
"passed","Wed Dec 13 19:07:35 GMT 2023","Wed Dec 13 19:07:35 GMT 2023","171","Savings application for new user before sign up","Children Savings","","","","Get Customer Children Saving Application",""
"passed","Wed Dec 13 19:07:05 GMT 2023","Wed Dec 13 19:07:05 GMT 2023","165","Blog post","","","","","Blog Post - item per page",""
"passed","Wed Dec 13 19:07:39 GMT 2023","Wed Dec 13 19:07:40 GMT 2023","509","Savings application for new user after sign up","Children Savings","","","","Submit Children Savings Application",""
"passed","Wed Dec 13 19:08:28 GMT 2023","Wed Dec 13 19:08:28 GMT 2023","195","Business loan after sign up","Sole Trader Business Loan","","","","Validate Account",""
"passed","Wed Dec 13 19:06:50 GMT 2023","Wed Dec 13 19:06:51 GMT 2023","391","Savings application for existing customer","Fixed deposit savings","","","","Fixed Deposit Savings",""
"passed","Wed Dec 13 19:08:24 GMT 2023","Wed Dec 13 19:08:24 GMT 2023","174","Loans for new user after sign up","Quick Loans","","","","Get Customer Loans Application",""
"passed","Wed Dec 13 19:06:51 GMT 2023","Wed Dec 13 19:06:52 GMT 2023","988","Savings application for existing customer","Fixed deposit savings","","","","Fixed Deposit Savings- Empty DOB",""
"passed","Wed Dec 13 19:07:44 GMT 2023","Wed Dec 13 19:07:44 GMT 2023","195","Loans for new user before sign up","Payday Loans","","","","Login -  successful",""
"passed","Wed Dec 13 19:08:28 GMT 2023","Wed Dec 13 19:08:28 GMT 2023","181","Business loan after sign up","Sole Trader Business Loan","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:07:01 GMT 2023","Wed Dec 13 19:07:01 GMT 2023","150","Loans application for existing customer","Personal  Loans","PayDay Loan","","","PayDay  Loan - Submit Loan Without Firstname",""
"passed","Wed Dec 13 19:07:32 GMT 2023","Wed Dec 13 19:07:32 GMT 2023","183","Savings application for new user before sign up","Personal Savings","","","","Activate Account - New User",""
"passed","Wed Dec 13 19:07:06 GMT 2023","Wed Dec 13 19:07:11 GMT 2023","4229","Credit score check","","","","","Credit score",""
"passed","Wed Dec 13 19:07:42 GMT 2023","Wed Dec 13 19:07:42 GMT 2023","410","Savings application for new user after sign up","Personal Savings","","","","Get Customer Personal saving Application",""
"passed","Wed Dec 13 19:07:21 GMT 2023","Wed Dec 13 19:07:23 GMT 2023","1930","Credit score check","","","","","Credit score - All Fields Empty",""
"passed","Wed Dec 13 19:07:40 GMT 2023","Wed Dec 13 19:07:40 GMT 2023","409","Savings application for new user after sign up","Children Savings","","","","Get Customer Personal saving Application Copy",""
"failed","Wed Dec 13 19:07:42 GMT 2023","Wed Dec 13 19:07:42 GMT 2023","174","Savings application for new user after sign up","Personal Savings","","","","Submit Personal savings Application",""
